Marca temporal,¿Qué edad tienes?,¿Qué dispositivos usas principalmente?,"¿Cuántas horas al día, en promedio, utiliza su dispositivo móvil (celular, tablet) en días laborables?","  ¿Cuántas horas diarias pasas, en promedio, específicamente en Redes Sociales? (Instagram, TikTok, Twitter/X, etc.)  ",  ¿Cuál es tu promedio académico actual o estimado en este ciclo lectivo? (Nota del 1 al 10)  ,"¿Cuántas horas al día, en promedio, utiliza su dispositivo móvil durante los fines de semana?",¿Cuál es la principal actividad que realiza en su dispositivo móvil?,Indique en qué rango de tiempo usted suele revisar su dispositivo con mayor frecuencia. [Lunes a Viernes],Indique en qué rango de tiempo usted suele revisar su dispositivo con mayor frecuencia. [Sábados y Domingos],Evalúe su nivel de dependencia del dispositivo móvil (1 siendo muy baja y 10 siendo muy alta).,¿Considera que su uso de pantalla afecta negativamente su sueño o productividad?
2026-06-12 21:49:57.009,20,Android,7.0,Muchooo,8,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Trabajo o estudios",2,"Tarde (17:00 a 20:00), Noche (después de las 22:00)",10,Significativamente
2026-06-13 11:15:30.764,14,Android,1.5,2 hs,9,2 a 4 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Juegos (Móviles)",2,"Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)",7,"No, en absoluto"
2026-06-13 13:06:36.175,21,Iphone,7.0,7 o 8 horas,7,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Consumo de video (YouTube, Netflix), Trabajo o estudios, Lectura de noticias o navegación web",3,"Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",10,Moderadamente
2026-06-13 13:07:33.586,20,Android,5.0,8,10,2 a 4 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Consumo de video (YouTube, Netflix)",1,"Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",7,Ligeramente
2026-06-13 13:20:49.334,23,Android,7.0,TikTok,2,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas)",4,"Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",7,Significativamente
2026-06-13 13:42:09.542,24,Android,5.0,4,7,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Consumo de video (YouTube, Netflix)",3,"Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",4,Significativamente
2026-06-13 13:44:26.361,28,Iphone,7.0,3 horas,8,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas)",1,Noche (después de las 22:00),8,Significativamente
2026-06-13 13:48:16.638,45,"Android, Iphone",7.0,4 hs,10,1 a 2 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Trabajo o estudios",2,"Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)",6,Significativamente
2026-06-13 17:18:17.422,13,Android,5.0,5,10,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X)",2,"Temprano en la mañana (antes de las 9:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",9,"No, en absoluto"
2026-06-16 17:02:47.684,55,Android,7.0,1,9,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Trabajo o estudios, Lectura de noticias o navegación web",1,Mediodía (12:00 a 14:00),10,Significativamente
2026-06-19 11:26:26.116,21,Android,1.5,Twitter,3,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Consumo de video (YouTube, Netflix), Juegos (Móviles)",1,Temprano en la mañana (antes de las 9:00),1,Ligeramente
2026-06-19 11:28:57.642,12,Android,1.5,"TikTok,Facebook",10,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Lectura de noticias o navegación web",3,"Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",10,"No, en absoluto"
2026-06-23 16:36:25.302,18,Android,7.0,+6,9,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X)",1,Tarde (17:00 a 20:00),7,Ligeramente
2026-06-23 16:47:29.681,16,Android,5.0,3,9,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Consumo de video (YouTube, Netflix), Juegos (Móviles)",2,"Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",8,Ligeramente
2026-06-23 17:21:11.761,15,Android,0.5,"20 horas si se trata de un día, o si no 48 horas toda la semana ",7,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas)",4,"Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",10,Ligeramente
2026-06-23 17:36:11.761,57,Android,3.0,Máximo 5 ,6,Menos de 1 hora,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Consumo de video (YouTube, Netflix)",1,"Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)",5,Moderadamente
2026-06-23 18:06:11.761,21,Android,3.0,4 hora,7,2 a 4 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas)",2,"Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",4,"No, en absoluto"
2026-06-23 18:21:11.761,19,Android,5.0,Entre 1 y 2  horas,10,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X)",1,"Temprano en la mañana (antes de las 9:00), Tarde (17:00 a 20:00)",8,Moderadamente
2026-06-23 18:51:11.761,19,Android,3.0,4,10,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Lectura de noticias o navegación web",1,"Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)",3,Moderadamente
2026-06-23 19:06:11.761,46,Android,7.0,8,9,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Trabajo o estudios",3,Tarde (17:00 a 20:00),6,Moderadamente
2026-06-23 19:21:11.761,14,Android,7.0,Mas de 6 horas,7,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Trabajo o estudios",1,"Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",5,Ligeramente
2026-06-23 20:21:11.761,20,Iphone,3.0,2 hs,9,1 a 2 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Juegos (Móviles), Trabajo o estudios",2,Noche (después de las 22:00),6,Moderadamente
2026-06-23 20:36:11.761,14,Iphone,1.5,De 2 a 5 o 6 horas,9,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X)",1,"Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",6,Significativamente
2026-06-23 20:51:11.761,13,Android,7.0,11 horas,7,2 a 4 horas,"Redes sociales (Instagram, TikTok, Facebook, X)",1,"Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",5,Moderadamente
2026-06-23 21:06:11.761,14,Iphone,7.0,"TikTok,Facebook",8,Menos de 1 hora,"Redes sociales (Instagram, TikTok, Facebook, X)",1,Mediodía (12:00 a 14:00),4,Moderadamente
2026-06-23 21:21:11.761,34,Android,3.0,20,8,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Consumo de video (YouTube, Netflix)",1,"Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)",9,Ligeramente
2026-06-23 21:36:11.761,60,Android,7.0,1 hora ,9,2 a 4 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas)",1,Noche (después de las 22:00),3,Significativamente
2026-06-23 21:51:11.761,19,Iphone,7.0,2,10,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X)",2,"Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",2,Significativamente
2026-06-23 22:36:11.761,20,Android,5.0,4 horas,7,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Juegos (Móviles)",3,"Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",7,Moderadamente
2026-06-23 22:51:11.761,24,Android,3.0,TikTok,7,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X)",1,"Tarde (17:00 a 20:00), Noche (después de las 22:00)",6,Ligeramente
2026-06-23 23:21:11.761,24,Android,5.0,2 horas ,8,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Consumo de video (YouTube, Netflix), Juegos (Móviles), Trabajo o estudios, Lectura de noticias o navegación web",1,"Temprano en la mañana (antes de las 9:00), Tarde (17:00 a 20:00)",4,Ligeramente
2026-06-23 23:36:11.761,36,Android,7.0,6 horas ,10,1 a 2 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Consumo de video (YouTube, Netflix), Juegos (Móviles)",2,"Mediodía (12:00 a 14:00), Noche (después de las 22:00)",10,Ligeramente
2026-06-23 23:51:11.761,45,Android,7.0,Casi siempre ,6,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Juegos (Móviles), Trabajo o estudios, Lectura de noticias o navegación web",2,Mediodía (12:00 a 14:00),10,Moderadamente
2026-06-24 00:21:11.761,23,Android,7.0,3,7,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas)",2,"Tarde (17:00 a 20:00), Noche (después de las 22:00)",10,"No, en absoluto"
2026-06-24 00:51:11.761,45,Android,3.0,Casi la mayor parte trabajo con eso son mis herramientas de trabajo (difusion a pleno),7,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X)",3,"Tarde (17:00 a 20:00), Noche (después de las 22:00)",8,Ligeramente
2026-06-24 01:06:11.761,19,Iphone,1.5,4 o 5 horas,7,2 a 4 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Consumo de video (YouTube, Netflix), Juegos (Móviles), Trabajo o estudios, Lectura de noticias o navegación web",1,"Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",8,"No, en absoluto"
2026-06-24 01:36:11.761,48,Iphone,0.5,2 a 3 horas ,7,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas)",4,Tarde (17:00 a 20:00),7,Ligeramente
2026-06-24 01:51:11.761,36,Android,0.5,4 hs,7,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Consumo de video (YouTube, Netflix), Trabajo o estudios, Lectura de noticias o navegación web",3,"Temprano en la mañana (antes de las 9:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",3,Ligeramente
2026-06-24 02:06:11.761,19,Android,7.0,3 horas,6,2 a 4 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas)",2,Mediodía (12:00 a 14:00),8,"No, en absoluto"
2026-06-24 02:36:11.761,19,Android,7.0,3 hs,6,1 a 2 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas)",3,Tarde (17:00 a 20:00),3,"No, en absoluto"
2026-06-24 02:51:11.761,19,Iphone,3.0,Twitter,2,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Trabajo o estudios",1,"Temprano en la mañana (antes de las 9:00), Tarde (17:00 a 20:00)",10,Moderadamente
2026-06-24 03:06:11.761,29,"Android, Iphone",7.0,4,9,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Juegos (Móviles), Trabajo o estudios",3,"Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",1,Ligeramente
2026-06-24 03:21:11.761,17,Android,3.0,2hs cda una,9,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Lectura de noticias o navegación web",1,"Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00)",4,Significativamente
2026-06-24 03:51:11.761,44,Android,7.0,2,9,1 a 2 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Trabajo o estudios",1,"Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",8,Significativamente
2026-06-24 04:06:11.761,15,Iphone,7.0,Casi siempre ,9,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Juegos (Móviles)",1,"Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",8,"No, en absoluto"
