Marca temporal,¿Qué edad tienes?,¿Qué dispositivos usas principalmente?,"¿Cuántas horas al día, en promedio, utiliza su dispositivo móvil (celular, tablet) en días laborables?","  ¿Cuántas horas diarias pasas, en promedio, específicamente en Redes Sociales? (Instagram, TikTok, Twitter/X, etc.)  ",  ¿Cuál es tu promedio académico actual o estimado en este ciclo lectivo? (Nota del 1 al 10)  ,"¿Cuántas horas al día, en promedio, utiliza su dispositivo móvil durante los fines de semana?",¿Cuál es la principal actividad que realiza en su dispositivo móvil?,Indique en qué rango de tiempo usted suele revisar su dispositivo con mayor frecuencia. [Lunes a Viernes],Indique en qué rango de tiempo usted suele revisar su dispositivo con mayor frecuencia. [Sábados y Domingos],Evalúe su nivel de dependencia del dispositivo móvil (1 siendo muy baja y 10 siendo muy alta).,¿Considera que su uso de pantalla afecta negativamente su sueño o productividad?
2026-06-11 21:46:10,12,Android,Más de 6 horas,4 horas,9,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Juegos (Móviles)","Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)","Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",6,"No, en absoluto"
2026-06-12 11:39:37,23,Iphone,Más de 6 horas,"1 hora instagram, 4 hs whatsapp y 1 hora tiktok",10,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas)","Tarde (17:00 a 20:00), Noche (después de las 22:00)","Tarde (17:00 a 20:00), Noche (después de las 22:00)",3,Moderadamente
2026-06-12 15:06:10,11,Android,4 a 6 horas,4 horas,8,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Juegos (Móviles)","Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)","Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)",8,Ligeramente
2026-06-12 15:07:46,28,Iphone,4 a 6 horas,4,10,Más de 6 horas,Juegos (Móviles),Tarde (17:00 a 20:00),Noche (después de las 22:00),3,Ligeramente
2026-06-12 15:08:02,67,Iphone,Más de 6 horas,20,10,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Consumo de video (YouTube, Netflix), Juegos (Móviles), Trabajo o estudios, Lectura de noticias o navegación web","Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)","Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",10,Significativamente
2026-06-12 15:08:43,16,Android,Menos de 1 hora,5 horas,10,4 a 6 horas,"Consumo de video (YouTube, Netflix)",Tarde (17:00 a 20:00),Mediodía (12:00 a 14:00),4,Ligeramente
2026-06-12 15:08:45,16,Android,1 a 2 horas,2,10,1 a 2 horas,Trabajo o estudios,Temprano en la mañana (antes de las 9:00),Tarde (17:00 a 20:00),3,"No, en absoluto"
2026-06-12 15:11:23,14,Android,2 a 4 horas,En tiktok 2 horas,6,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X)",Temprano en la mañana (antes de las 9:00),Temprano en la mañana (antes de las 9:00),10,"No, en absoluto"
2026-06-12 15:15:34,15,Android,4 a 6 horas,Y nose qsy ,7,2 a 4 horas,"Redes sociales (Instagram, TikTok, Facebook, X)",Noche (después de las 22:00),"Mediodía (12:00 a 14:00), Noche (después de las 22:00)",2,Moderadamente
2026-06-12 15:15:43,27,Android,4 a 6 horas,"De 2 a 4 horas tik tok,WhatsApp  Facebook ",9,2 a 4 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Lectura de noticias o navegación web","Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)","Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)",3,"No, en absoluto"
2026-06-12 15:18:03,20,Android,1 a 2 horas,Instagram ,7,1 a 2 horas,"Comunicación (WhatsApp, Telegram, llamadas), Juegos (Móviles), Trabajo o estudios",Tarde (17:00 a 20:00),Mediodía (12:00 a 14:00),5,Moderadamente
2026-06-12 15:22:27,17,Iphone,4 a 6 horas,Tiktok (4hrs) Instagram (1hora) Whatsapp (4hrs),7,2 a 4 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Trabajo o estudios","Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00)",Mediodía (12:00 a 14:00),6,Moderadamente
2026-06-12 15:24:29,13 años ,Android,1 a 2 horas,Cómo 2 horas creo,2,2 a 4 horas,"Redes sociales (Instagram, TikTok, Facebook, X)",Mediodía (12:00 a 14:00),Mediodía (12:00 a 14:00),10,"No, en absoluto"
2026-06-12 15:27:35,17,Android,4 a 6 horas,3 a 4 horas ,2,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Juegos (Móviles)","Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)","Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",8,Significativamente
2026-06-12 15:28:20,19,Android,Más de 6 horas,8,9,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Consumo de video (YouTube, Netflix)","Tarde (17:00 a 20:00), Noche (después de las 22:00)","Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",10,Moderadamente
2026-06-12 15:28:31,18,Iphone,Más de 6 horas,2 horas,7,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Juegos (Móviles)","Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)","Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",5,"No, en absoluto"
2026-06-12 15:31:16,40,Android,2 a 4 horas,2 horas,8,2 a 4 horas,"Comunicación (WhatsApp, Telegram, llamadas), Trabajo o estudios",Tarde (17:00 a 20:00),Tarde (17:00 a 20:00),5,"No, en absoluto"
2026-06-12 15:31:32,14,Android,1 a 2 horas,1 hs,8,1 a 2 horas,"Redes sociales (Instagram, TikTok, Facebook, X)",Tarde (17:00 a 20:00),Mediodía (12:00 a 14:00),5,"No, en absoluto"
2026-06-12 15:32:08,12,Android,1 a 2 horas,2 horas ,8,2 a 4 horas,"Redes sociales (Instagram, TikTok, Facebook, X)","Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",Tarde (17:00 a 20:00),6,Moderadamente
2026-06-12 15:32:17,15,Android,1 a 2 horas,Un ratito ,3,Menos de 1 hora,"Consumo de video (YouTube, Netflix)","Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)","Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)",1,"No, en absoluto"
2026-06-12 15:33:28,23,Android,2 a 4 horas,El tiempo que tenga libre ,10,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Trabajo o estudios","Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)","Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)",2,"No, en absoluto"
2026-06-12 15:33:44,24,Android,Más de 6 horas,Entre 10 a 40 min,10,1 a 2 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Trabajo o estudios","Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)","Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)",5,Moderadamente
2026-06-12 15:35:41,13,Android,Más de 6 horas,Nose muchas horas,4,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X)","Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)","Mediodía (12:00 a 14:00), Noche (después de las 22:00)",6,Ligeramente
2026-06-12 15:37:39,14,Iphone,4 a 6 horas,3,8,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Juegos (Móviles)","Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)","Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",8,Ligeramente
2026-06-12 15:40:31,19,Android,4 a 6 horas,4 hs,8,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Consumo de video (YouTube, Netflix), Juegos (Móviles), Trabajo o estudios, Lectura de noticias o navegación web",Temprano en la mañana (antes de las 9:00),Mediodía (12:00 a 14:00),7,Moderadamente
2026-06-12 15:40:49,67,Iphone,4 a 6 horas,3,8,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Consumo de video (YouTube, Netflix)","Temprano en la mañana (antes de las 9:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)","Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",5,"No, en absoluto"
2026-06-12 15:42:06,23,Android,2 a 4 horas,4 horas,7,4 a 6 horas,Trabajo o estudios,Tarde (17:00 a 20:00),Temprano en la mañana (antes de las 9:00),5,Moderadamente
2026-06-12 15:43:43,14 añis,Android,Más de 6 horas,3 hora,6,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X)",Temprano en la mañana (antes de las 9:00),Mediodía (12:00 a 14:00),8,Moderadamente
2026-06-12 15:45:18,16,Iphone,2 a 4 horas,4,10,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas)",Mediodía (12:00 a 14:00),Mediodía (12:00 a 14:00),10,Moderadamente
2026-06-12 15:47:09,43,Android,4 a 6 horas,1 hora,9,2 a 4 horas,Trabajo o estudios,Temprano en la mañana (antes de las 9:00),Temprano en la mañana (antes de las 9:00),8,"No, en absoluto"
2026-06-12 15:50:49,Larry Vapija,Iphone,2 a 4 horas,"Anda caga, pedazo de retrasado ojalá te mueras",10,1 a 2 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Consumo de video (YouTube, Netflix), Juegos (Móviles), Trabajo o estudios, Lectura de noticias o navegación web","Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)","Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",3,Moderadamente
2026-06-12 15:54:15,14,Android,1 a 2 horas,4 horas,8,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Trabajo o estudios","Temprano en la mañana (antes de las 9:00), Noche (después de las 22:00)","Tarde (17:00 a 20:00), Noche (después de las 22:00)",5,"No, en absoluto"
2026-06-12 16:00:12,16,Android,Más de 6 horas,8 horas,8,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas)","Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)","Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",9,Ligeramente
2026-06-12 16:01:10,16,Android,Más de 6 horas,8 horas,10,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Consumo de video (YouTube, Netflix), Juegos (Móviles), Trabajo o estudios, Lectura de noticias o navegación web","Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)","Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",6,Ligeramente
2026-06-12 16:04:05,14,Android,Menos de 1 hora,Masomenos ,7,Menos de 1 hora,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas)","Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)","Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)",6,"No, en absoluto"
2026-06-12 16:19:22,20 años,Iphone,Más de 6 horas,Dependiendo el Día laboral ,9,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X)","Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)","Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",8,"No, en absoluto"
2026-06-12 16:33:45,16,Android,2 a 4 horas,No sabría decirte,7,2 a 4 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Juegos (Móviles), Trabajo o estudios","Temprano en la mañana (antes de las 9:00), Noche (después de las 22:00)","Tarde (17:00 a 20:00), Noche (después de las 22:00)",9,"No, en absoluto"
2026-06-12 16:40:44,19,Android,1 a 2 horas,una hora,9,2 a 4 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Juegos (Móviles), Trabajo o estudios","Temprano en la mañana (antes de las 9:00), Tarde (17:00 a 20:00)","Mediodía (12:00 a 14:00), Noche (después de las 22:00)",7,"No, en absoluto"
2026-06-12 17:00:21,13,Android,4 a 6 horas,Casi siempre ,10,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Trabajo o estudios",Mediodía (12:00 a 14:00),Temprano en la mañana (antes de las 9:00),10,Ligeramente
2026-06-12 17:14:48,46,Android,2 a 4 horas,Entre 2 y 4 horas ,7,2 a 4 horas,"Comunicación (WhatsApp, Telegram, llamadas), Juegos (Móviles), Trabajo o estudios",Tarde (17:00 a 20:00),Tarde (17:00 a 20:00),5,Moderadamente
2026-06-12 17:26:56,24,Android,Más de 6 horas,Más de 6 horas ,6,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Consumo de video (YouTube, Netflix), Trabajo o estudios, Lectura de noticias o navegación web",Temprano en la mañana (antes de las 9:00),Mediodía (12:00 a 14:00),10,Ligeramente
2026-06-12 17:35:39,15,Android,Más de 6 horas,Mas de 6 horas,7,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Trabajo o estudios, Lectura de noticias o navegación web","Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)","Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",8,"No, en absoluto"
2026-06-12 17:36:23,13,Android,1 a 2 horas,1 hora,9,Menos de 1 hora,"Redes sociales (Instagram, TikTok, Facebook, X)",Mediodía (12:00 a 14:00),Tarde (17:00 a 20:00),7,"No, en absoluto"
2026-06-12 17:47:15,19,Android,Más de 6 horas,6,8,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Consumo de video (YouTube, Netflix), Lectura de noticias o navegación web",Noche (después de las 22:00),"Tarde (17:00 a 20:00), Noche (después de las 22:00)",5,"No, en absoluto"
2026-06-12 18:00:59,35,Android,1 a 2 horas,3,8,1 a 2 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Trabajo o estudios",Mediodía (12:00 a 14:00),Tarde (17:00 a 20:00),4,Ligeramente
2026-06-12 18:16:46,12,Android,4 a 6 horas,4 horas más o menos,8,Más de 6 horas,Lectura de noticias o navegación web,Mediodía (12:00 a 14:00),Mediodía (12:00 a 14:00),8,"No, en absoluto"
2026-06-12 18:22:54,18,Android,4 a 6 horas,2hs cda una,8,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Consumo de video (YouTube, Netflix), Juegos (Móviles)","Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",Tarde (17:00 a 20:00),6,Significativamente
2026-06-12 18:44:54,19,Android,1 a 2 horas,Depende del día 4-6 horas ,7,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Consumo de video (YouTube, Netflix), Juegos (Móviles), Trabajo o estudios",Tarde (17:00 a 20:00),Mediodía (12:00 a 14:00),8,Ligeramente
2026-06-12 19:14:29,47,Android,4 a 6 horas,1hora,8,Más de 6 horas,"Comunicación (WhatsApp, Telegram, llamadas), Trabajo o estudios, Lectura de noticias o navegación web",Tarde (17:00 a 20:00),Tarde (17:00 a 20:00),5,"No, en absoluto"
2026-06-12 19:56:40,47,Iphone,Más de 6 horas,2,10,4 a 6 horas,Trabajo o estudios,Temprano en la mañana (antes de las 9:00),Mediodía (12:00 a 14:00),8,"No, en absoluto"
2026-06-12 20:58:18,14,Android,1 a 2 horas,1a2horas mínimas ,9,2 a 4 horas,"Redes sociales (Instagram, TikTok, Facebook, X)",Temprano en la mañana (antes de las 9:00),Noche (después de las 22:00),7,Significativamente
2026-06-12 21:31:08,44,Android,4 a 6 horas,4 hora,7,Más de 6 horas,"Comunicación (WhatsApp, Telegram, llamadas), Lectura de noticias o navegación web",Noche (después de las 22:00),Tarde (17:00 a 20:00),5,"No, en absoluto"
2026-06-12 21:49:57,20,Android,Más de 6 horas,Muchooo,8,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Trabajo o estudios","Temprano en la mañana (antes de las 9:00), Noche (después de las 22:00)","Tarde (17:00 a 20:00), Noche (después de las 22:00)",10,Significativamente
2026-06-13 05:15:02,47,Android,2 a 4 horas,1,1,4 a 6 horas,"Consumo de video (YouTube, Netflix)",Tarde (17:00 a 20:00),"Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)",3,Significativamente
2026-06-13 11:15:31,14,Android,1 a 2 horas,2 hs,9,2 a 4 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Juegos (Móviles)","Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)","Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)",7,"No, en absoluto"
2026-06-13 13:06:36,21,Iphone,Más de 6 horas,7 o 8 horas,7,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Consumo de video (YouTube, Netflix), Trabajo o estudios, Lectura de noticias o navegación web","Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)","Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",10,Moderadamente
2026-06-13 13:07:34,20,Android,4 a 6 horas,8,10,2 a 4 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Consumo de video (YouTube, Netflix)",Tarde (17:00 a 20:00),"Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",7,Ligeramente
2026-06-13 13:20:42,19,Android,Más de 6 horas,6 horas ,8,Más de 6 horas,"Comunicación (WhatsApp, Telegram, llamadas)",Noche (después de las 22:00),Noche (después de las 22:00),4,Moderadamente
2026-06-13 13:20:49,23,Android,Más de 6 horas,TikTok,2,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas)","Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)","Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",7,Significativamente
2026-06-13 13:42:10,24,Android,4 a 6 horas,4,7,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Consumo de video (YouTube, Netflix)","Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)","Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",4,Significativamente
2026-06-13 13:44:26,28,Iphone,Más de 6 horas,3 horas,8,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas)",Noche (después de las 22:00),Noche (después de las 22:00),8,Significativamente
2026-06-13 13:48:17,45,"Android, Iphone",Más de 6 horas,4 hs,10,1 a 2 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Trabajo o estudios","Temprano en la mañana (antes de las 9:00), Tarde (17:00 a 20:00)","Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)",6,Significativamente
2026-06-13 17:18:17,13,Android,4 a 6 horas,5,10,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X)","Temprano en la mañana (antes de las 9:00), Tarde (17:00 a 20:00)","Temprano en la mañana (antes de las 9:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",9,"No, en absoluto"
2026-06-16 03:53:27,15,Iphone,Más de 6 horas,"No estoy segura, varía dependiendo qué día sea.",7,Más de 6 horas,"Comunicación (WhatsApp, Telegram, llamadas)","Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)","Tarde (17:00 a 20:00), Noche (después de las 22:00)",8,Significativamente
2026-06-16 17:02:48,55,Android,Más de 6 horas,1,9,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Trabajo o estudios, Lectura de noticias o navegación web",Temprano en la mañana (antes de las 9:00),Mediodía (12:00 a 14:00),10,Significativamente
2026-06-19 11:26:26,21,Android,1 a 2 horas,Twitter,3,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Consumo de video (YouTube, Netflix), Juegos (Móviles)",Temprano en la mañana (antes de las 9:00),Temprano en la mañana (antes de las 9:00),1,Ligeramente
2026-06-19 11:27:40,34,Iphone,4 a 6 horas,Instagram,10,Más de 6 horas,"Juegos (Móviles), Trabajo o estudios",Tarde (17:00 a 20:00),Mediodía (12:00 a 14:00),9,Significativamente
2026-06-19 11:28:58,12,Android,1 a 2 horas,"TikTok,Facebook",10,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Lectura de noticias o navegación web","Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)","Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",10,"No, en absoluto"
2026-06-19 11:32:18,50,Android,Menos de 1 hora,"YouTube, Facebook",5,2 a 4 horas,"Comunicación (WhatsApp, Telegram, llamadas), Consumo de video (YouTube, Netflix)","Temprano en la mañana (antes de las 9:00), Noche (después de las 22:00)","Temprano en la mañana (antes de las 9:00), Noche (después de las 22:00)",10,Ligeramente
2026-06-19 11:33:21,10,Iphone,4 a 6 horas,Facebook,7,1 a 2 horas,"Consumo de video (YouTube, Netflix)",Temprano en la mañana (antes de las 9:00),Temprano en la mañana (antes de las 9:00),5,Moderadamente
2026-06-19 11:36:17,18,"Android, Iphone",4 a 6 horas,8,1,Más de 6 horas,"Juegos (Móviles), Lectura de noticias o navegación web",Temprano en la mañana (antes de las 9:00),Temprano en la mañana (antes de las 9:00),6,Significativamente
2026-06-23 16:36:25,18,Android,Más de 6 horas,+6,9,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X)",Tarde (17:00 a 20:00),Tarde (17:00 a 20:00),7,Ligeramente
2026-06-23 16:47:30,16,Android,4 a 6 horas,3,9,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Consumo de video (YouTube, Netflix), Juegos (Móviles)","Mediodía (12:00 a 14:00), Noche (después de las 22:00)","Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",8,Ligeramente
2026-06-23 17:21:12,15,Android,Menos de 1 hora,"20 horas si se trata de un día, o si no 48 horas toda la semana ",7,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas)","Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)","Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",10,Ligeramente
2026-06-23 17:36:12,57,Android,2 a 4 horas,Máximo 5 ,6,Menos de 1 hora,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Consumo de video (YouTube, Netflix)",Noche (después de las 22:00),"Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)",5,Moderadamente
2026-06-23 17:51:12,46,Android,4 a 6 horas,4 horas,7,Más de 6 horas,"Comunicación (WhatsApp, Telegram, llamadas), Juegos (Móviles)",Temprano en la mañana (antes de las 9:00),Mediodía (12:00 a 14:00),2,Moderadamente
2026-06-23 18:06:12,21,Android,2 a 4 horas,4 hora,7,2 a 4 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas)","Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00)","Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",4,"No, en absoluto"
2026-06-23 18:21:12,19,Android,4 a 6 horas,Entre 1 y 2  horas,10,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X)",Tarde (17:00 a 20:00),"Temprano en la mañana (antes de las 9:00), Tarde (17:00 a 20:00)",8,Moderadamente
2026-06-23 18:36:12,19,Android,Más de 6 horas,Entre 10 a 40 min,8,Más de 6 horas,"Comunicación (WhatsApp, Telegram, llamadas)",Temprano en la mañana (antes de las 9:00),Mediodía (12:00 a 14:00),10,Moderadamente
2026-06-23 18:51:12,19,Android,2 a 4 horas,4,10,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Lectura de noticias o navegación web",Temprano en la mañana (antes de las 9:00),"Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)",3,Moderadamente
2026-06-23 19:06:12,46,Android,Más de 6 horas,8,9,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Trabajo o estudios","Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)",Tarde (17:00 a 20:00),6,Moderadamente
2026-06-23 19:21:12,14,Android,Más de 6 horas,Mas de 6 horas,7,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Trabajo o estudios",Mediodía (12:00 a 14:00),"Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",5,Ligeramente
2026-06-23 19:36:12,21,Iphone,4 a 6 horas,11 horas,10,Más de 6 horas,Trabajo o estudios,Temprano en la mañana (antes de las 9:00),Mediodía (12:00 a 14:00),6,"No, en absoluto"
2026-06-23 19:51:12,13,Android,2 a 4 horas,1 hora,9,2 a 4 horas,Trabajo o estudios,"Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)",Mediodía (12:00 a 14:00),3,"No, en absoluto"
